job_id,role,job_title,jd_text,required_experience,source
24,Backend Developer,Backend Software Eng / Sr Eng (Python) for a Mission-driven co in Diversity & Inclusion,"BiasSync is a mission-driven startup working to help companies and employees understand, manage, and mitigate unconscious bias’s impact in the workplace. We are changing workplaces through Netflix-level video content that’s unlike any corporate training, video game-like activities that let people measure their own levels of bias, micro-learnings that teach key skills and other sections of our platform . While we are a new company, we already have high-profile clients like Ikea, Pepsico, and even the White House. We are a small, inclusive team who cares about team culture. We are looking for a backend engineer to help us continue scaling BiasSync. You’re a skilled, passionate software engineer who likes building and shipping.Because we’re a lean team, we prefer generalists who like touching all parts of the system and enjoy learning about new tools and technologies. We try to build things incrementally and ship practical solutions in reasonable timeframes. We are open to engineers with slightly different levels of experience and non-traditional backgrounds. Core Backend Tools We Use Python Flask PostgreSQL (with SQLAlchemy) Lambda Terraform AWS Our Ideal Candidate Will Have A passion for issues around diversity, equity and inclusion Passionate about company culture and working as part of a small team that cares about learning and improving Significant experience doing backend web engineering, particularly in Python environments and/or with PostgreSQL or other SQL databases Likes working with the frontend engineers and product managers to agree on system requirements, API contracts, and the like A passion for building clear, clean, well-tested software Skills for building enterprise software (solving client problems, documentation, security, version management, etc) And It Would Be Nice If They Had Excited about changing companies and their cultures Interested in social psychology, psychometric measurement, and/or statistics Used to devops setup and configuration tools (Terraform, CI/CD pipelines, AWS Lambda, etc) Strong infosec/secure development skills BiasSync is committed to building diverse, inclusive teams. (I listed this with Senior too--we're hiring multiple people and would be open to more senior candidates.) Show more Show less",,postings.csv/postings.csv
25,Backend Developer,Software Engineer (Backend / AI),"Just as conversations spark action in other fields, financial decisions depend on accurate, timely insights gleaned from a vast network of experts. In the complex world of finance, sifting through data, identifying relevant expertise, and translating it into actionable decisions can be a herculean task. This is where AlphaWatch AI steps in. You'll Be Building Cutting-edge search and discovery platform: Connect with a curated network of industry experts AI-powered analytics and insights: Uncover hidden patterns and generate actionable recommendations from vast amounts of market data. Next-generation user experience: Simplify complex data processing workflows and deliver actionable insights in a clear, intuitive interface. More Than Just Code, You'll Be A builder: Play a pivotal role in shaping the future of financial intelligence. A collaborator: Work alongside a passionate team of experts and fellow enthusiasts. An innovator: Push the boundaries of what's possible with technology and financial expertise. We're Looking For Backend Engineer with interest in AI & LLMs We're looking for a seasoned backend engineer who thrives in the intersection of data, AI, and finance. You'll play a pivotal role in building the infrastructure that powers AlphaWatch AI. Your Ideal Background Includes 3+ years of experience as a backend engineer, architecting and developing scalable systems. Solid proficiency in Python, particularly web frameworks like FastAPI. Experience with data pipelines and storage solutions like PostgreSQL, OpenSearch (ElasticSearch), and potentially Pinecone. Familiarity with cloud platforms like AWS Bedrock is a strong plus. AI/LLM awareness and enthusiasm for exploring their potential in financial insights. Bonus Points For Proven track record of building high-performance, data-driven APIs. Experience with AI/LLM integration in backend systems. Understanding of NLP and search algorithms. Passion for finance and a desire to apply technology to its challenges. Excellent communication and collaboration skills to work effectively with diverse teams. You'll Be Responsible For Designing and implementing robust backend components for our search, data pipelines, and analytics engine. Integrating AI/LLM models into our infrastructure to enhance data processing and insights generation. Optimizing data pipelines for efficiency and scalability, ensuring lightning-fast responses for users. Collaborating with data scientists and frontend engineers to build a seamless user experience. Contributing to the continuous improvement of our backend architecture and performance. What We Offer Competitive salary and equity package. The chance to make a real impact in the world of finance. A collaborative and supportive work environment. Unlimited snacks and caffeine (because brilliant ideas need fuel). Join us at AlphaWatch AI and help rewrite the future of financial decision-making. Apply today and let's unlock the power of financial expertise together! Show more Show less",3.0,postings.csv/postings.csv
26,Backend Developer,Senior Software Developer - Node.js/Angular,"Software Developer - Node.js, Angular.js Do you want to work on our market-leading solutions and shape how they are used by our customers? Who are we? We are ranked as the UK’s #1 construction-specific software player and our mission is simple; to provide market-leading end-to-end software solutions to the construction and construction-like industries across the entire build life cycle. Our products are used by some of the biggest construction companies such as the likes of Balfour Beatty and more – therefore it’s crucial that we retain our competitive edge in the market! Our teams are based in the UK, Europe, and India, working on products that are used on a global scale. We have a clear and defined road map to deliver by 2025, which is centred around a large-scale digital transformation as well as continuing our growth and expansion. Job Description We are looking for an experienced Backend Developer to help define our cloud platform. You’ll be working within a team looking to improve the quality of experiences for our customers within the construction industry. The key areas of responsibilities for the JavaScript Developer include: Design, code, test and debug technical solutions including complex components, ensuring that quality standards are achieved. Provide legacy product support (fixing defects) in older technologies, including active involvement in moving the legacy product forwards into newer web technologies. Write clean, well-designed code, following best practice. Estimate effort required to accomplish requirements and ensure that schedules are met. Collaborate with other team members to help specify, design and develop software, meeting product requirements. Identify process deficiencies and propose and implement solutions and improvements. Ensure that technical product is developed accurately, based on best practice standards, within budget and on time and support the business objectives. Work with the Infrastructure team to ensure that data security standards are met at all times. Ensure that technical implementation is technically sound, defect rates are minimised and products are inexpensive to maintain and support. Communicate frequently with Tech Lead, Agile Delivery Lead and Development Director (when required). Provide support and mentorship to junior members of the team Skills, Experience And Qualifications Essential skills: 5+ years' experience developing web-based applications both front and back end. You will be able to produce quality code as well as offer an opinion on code before it goes into production Must have exposure to the following JavaScript frameworks – Angular, Node.JS You should be comfortable with writing optimised queries, identifying and testing indexes to ensure the high performance of our app using MongoDB Cloud experience with AWS, Azure or GCP In-depth understanding of the entire web development process (design, development, and deployment) In-depth knowledge of Agile process and it’s principles Nice to have: Basic knowledge/experience with Java Experience of the construction industry would be an advantage. Experience on high-traffic complex systems, apps and websites would be an advantage. Benefits 25 days annual leave + public holidays. 8% matched pension. Income protection and life assurance through Zurich. Centralised benefits platform split into 4 areas that allows employees to opt in and out. We take mental health seriously and have a dedicated EAP available 24/7. £100 allowance to a fitness club. Private Medical Insurance through AXA – all pre-existing medical conditions covered. Access to an online financial advisor platform. Interest-free loan of up to £1000. Paid study leave + volunteer days. Our Values Be Curious Own It Work Together Be Proud Wow Everyone If you would like to learn more, APPLY NOW!!! Show more Show less",5.0,postings.csv/postings.csv
27,Backend Developer,Software Engineer- Java (Hybrid),"Senior Backend Engineer- Java - Greenfield AI Project LOCATION: Irvine, CA. Monday through Thursday onsite, Fridays remote. COMPENSATION: $50-95 an hour. This is a contract that will convert to full-time ABOUT US: We are on a mission to develop innovative AI solutions that will revolutionize our workforce. As we embark on an exciting new greenfield AI project, we are looking for skilled and experienced Backend Java Engineers. Unfortunately, we cannot offer sponsorship for this position. Job Description Get in on the ground floor of a transformational software design team. We are trailblazing a new set of software design processes and a suite of applications for a company with the largest market share in its space. These applications will redefine not only how our company does business, but may fundamentally change how the company is valued! Responsibilities Productive member of a diverse engineering team – systems thinking, SOLID expert, coding standards, testing, etc. Take complete end-to-end technical & engineering ownership of one or more applications Be at the forefront of translating complex functional and technical requirements into detailed architecture and design Define solutions in terms of components, modules, and algorithms Development and Implementation of the proposed solution. Refactor existing solutions to make it reusable and scalable. Leads and/or supports both product and technical discussions about how to apply existing and/or new technology in support of the business. Create design documents, code, unit/functional test as well as enhancements, modifications, and corrections to existing code. Present and defend design choices. Identify opportunities for further enhancements and refinements to standards, processes and systems. Creative thinking! Codes for tomorrow and not today… Required Qualifications Java-based work experience with a BS in Computer Science, Information Systems, or Data Science Strong Agile team experience. Strong design and coding skills with Java/J2EE, Spring, NodeJS/Typescript, and/or Python technologies. Strong knowledge and working experience in Git and Jira Working experience with REST/API web services. Experience in applying modern Agile Software Development practices is required. Experience with database technologies like PostgreSQL, MySQL, and SQL Server. Experience in working in a Microservices architecture environment. Experience writing tests (Unit, Integration, Load, End-to-End) using common testing Java/JavaScript testing frameworks. Experience working with dependency frameworks such as Maven, NPM, etc. Experience with AWS Services – S3, EC2, Cognito, SMS/SQS, CloudWatch, etc. Strong problem-solving skills and ability to resolve critical issues for complex systems under tight timeframes. Excellent written and verbal communication skills. Excellent planning and organizational skills. Must be able to write technical design and build documentation for all aspects of a technical infrastructure. Good interpersonal and facilitation skills. Preferred Qualifications Working knowledge in React, Angular, Vue, or other UI frameworks. Working knowledge of container technologies – Docker, Kubernetes Experience with one or more streaming/messaging technologies (i.e. Kafka, RabbitMQ, SQS, SNS) Experience with NoSQL database technologies, such as Redis, ElastiCache, MongoDB Show more Show less",,postings.csv/postings.csv
28,Backend Developer,"Sr Staff Software Engineer, Backend","To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts. Job Category Software Engineering Job Details About Salesforce We’re Salesforce, the Customer Company, inspiring the future of business with AI+ Data +CRM. Leading with our core values, we help companies across every industry blaze new trails and connect with customers in a whole new way. And, we empower you to be a Trailblazer, too — driving your performance and career growth, charting new paths, and improving the state of the world. If you believe in business as the greatest platform for change and in companies doing well and doing good – you’ve come to the right place. Slack is looking for a Senior Staff Backend Engineer to build features, design and implement API methods, and improve the performance and reliability of our systems as we rapidly scale our product and organization. We have backend engineers in almost every team across Slack, and in that role, you’ll be making some of the most significant decisions for the team. We build our app using reliable tools that our team knows and trusts, including PHP/Hack, Java, MySQL, and Linux. Expertise in these areas is a huge plus, but having familiarity with other common web languages (such as Python or Ruby) and other relational databases are fine substitutes. We’re a collaborative team who genuinely enjoys working together with a cross-functional team of product managers, designers, frontend, iOS, Android, automation, and quality engineers to make Slack a better product. We are looking for engineers that understand that simplicity and reliability are aspects of a system to be carefully calculated with every decision made. A taste of our scale and reach: Users spend over 10 hours connected and 2+ hours active in Slack every work day. 10M+ Daily Active Users in more than 150 countries. 1.5 billion messages are sent per month, half of those outside the United States. Every day we see over 3.5 million simultaneously connected users, over 3.5 billion web requests, over 42 billion database queries per day, and our systems see over 1 million queries/second in our caching tier. We have 8.8M+ app installations with 155,000 weekly active developers building on the platform. 90% of our paid teams on Slack actively use apps. Slack has a positive, diverse, and supportive culture—we look for people who are curious, inventive, and work to be a little better every single day. In our work together we aim to be smart, humble, hardworking and, above all, collaborative. If this sounds like a good fit for you, why not say hello? What you will be doing You’ll lead technical strategy and efforts for broad or complex requirements with insightful and forward-looking approaches that have an impact on an entire engineering function and solve large open-ended problems. You’ll set the vision for strategic development of methods, techniques, and evaluation criteria for projects and programs across the engineering organization. You’ll direct and guide the efforts of a pillar or functional group through delegation to senior technical leaders. You'll proactively identify and remedy communication gaps and issues to reach alignments for complex issues across diverse audience and influence organizational goals and strategy. You’ll actively own features or systems and define their long-term health, while also improving the health of surrounding systems. You'll train engineers for incident response and command. You'll be a trusted coach and mentor, actively building new leaders at Slack through continuous feedback. What you should have You’ve been building web applications professionally for 12+ years. You have experience with functional or imperative programming languages -- e.g., PHP, Python, Ruby, Go, C, or Java. You can own technical architecture discussions and lead technical decisions for an engineering organization. You write understandable, testable code with an eye towards maintainability. You are an excellent communicator. Explaining complex technical concepts to senior leadership and other engineers is no problem for you. You possess strong computer science fundamentals: data structures, algorithms, programming languages, distributed systems, and information retrieval. You have a bachelor's degree in Computer Science, Engineering or a related field, or equivalent training, fellowship, or work experience Accommodations If you require assistance due to a disability applying for open positions please submit a request via this Accommodations Request Form. Posting Statement At Salesforce we believe that the business of business is to improve the state of our world. Each of us has a responsibility to drive Equality in our communities and workplaces. We are committed to creating a workforce that reflects society through inclusive programs and initiatives such as equal pay, employee resource groups, inclusive benefits, and more. Learn more about Equality at www.equality.com and explore our company benefits at www.salesforcebenefits.com . Salesforce is an Equal Employment Opportunity and Affirmative Action Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Salesforce does not accept unsolicited headhunter and agency resumes. Salesforce will not pay any third-party agency or company that does not have a signed agreement with Salesforce . ﻿Salesforce welcomes all. For Colorado-based roles, the base salary hiring range for this position is $194,400 to $296,600. Compensation offered will be determined by factors such as location, level, job-related knowledge, skills, and experience. Certain roles may be eligible for incentive compensation, equity, benefits. More details about our company benefits can be found at the following link: https://www.salesforcebenefits.com. Show more Show less",12.0,postings.csv/postings.csv
29,Backend Developer,Software Engineer 2 - NCM,"Hungry, Humble, Honest, with Heart. The Opportunity Join our team at Nutanix as a Member of Technical Staff 2, where you will play a crucial role in providing a solid Nutanix Cloud Manager (NCM) product to our customers. Your mission will be to build an observability platform that allows our customers to proactively monitor and manage their infrastructure and applications. By building a reliable NCM data platform and driving the adoption of best practices, you will contribute to the success of our products. This is a unique opportunity to work with cutting-edge technologies, learn from experienced mentors, and be part of a fast-paced environment where autonomy and ownership are valued. The work will range from analyzing application requirements and proposing and benchmarking databases, designing data processing pipelines to data analysis and recommending best practices based on workload. Engineering / R&D at Nutanix The NCM data platform provides an end-end telemetry platform that includes telemetry data collection via agents and a big data pipeline that provides capabilities such as data transformation/processing, data warehousing, and data analytics. The NCM data platform is a team of 12 people, spread across India and the US, with a mix of senior and junior engineers. The team is special because it works in a hybrid environment, prioritizing fast deliverables while dedicating time for cross-geo collaboration. The team's success lies in its ability to bring together diverse skill sets and work towards building a unified experience for Nutanix customers. Your Role Design and develop the next generation of Data Platform features for on-prem and cloud. Participate in data modeling discussions and influence data products roadmap to ensure the best solution for requirements from various service teams. Work across all components of a big data platform such as API gateway, message bus, databases and database abstraction layers Propose and drive adoption of best practices for operationalizing data platforms, including data catalog, tracing capabilities configuration-driven change, etc. Design and implement pre-requisite data engineering by authoring Jobs via Apache Spark to satisfy requirements that cannot be solved by straightforward rules. Work closely with development, test, documentation, and product management teams to deliver high-quality products and services Collaborate with some of the finest engineers in the industry to work on complex challenges in large-scale computing What You Will Bring Upto 3 years of experience with a Bachelors or Masters degree in computer science or related streams Experience with one or more of the following languages (Python, Scala, Java, Golang, C++) Experience working with Database technologies and optimizing workloads Experience working with Big Data technologies, Kubernetes ecosystem, and microservice patterns Having an owner's mindset and experience working in a fast-paced and demanding environment Good understanding and working experience in SaaS technology development best practices (such as Agile) Experience working with one or more of the cloud platforms (AWS, Azure, GCP, etc) is a plus Awareness of Data Marts, Data Lakes, and Data Warehouses is a plus About The Team Meet Akshay Muramatti - Joined Nutanix in 2016 and was part of the founding team that built the first big data pipeline at Nutanix to process telemetry data from all Nutanix clusters worldwide. The highlight of this team has been scaling the pipeline to ingest roughly 2TBs of data every day and onboarding nearly every service team within Nutanix to consume this data. Currently leading the data platforms for Nutanix Insights and Nutanix Cloud Manager (NCM) products within Nutanix. Have grown the team from 10 to 30+ across India and the US. We are looking for a passionate and dedicated backend engineer who can help us build the next generation of NCM data platform Have 14 years of industry experience working with distributed systems and have worked on all aspects of backend work, from device drivers to user space applications. On the personal front, I love all kinds of music, ranging from Indian classical to Western pop, and I am pursuing my goal of being an amateur singer. What The Team Says ""We have a highly collaborative team that fosters a culture of learning and knowledge-sharing. While the project may demand hard work, we also solve challenging problems and celebrate victories, creating memories that will last a lifetime."" ""What stands out about this team is the chance to collaborate with smart engineers who are passionate about solving big problems. The open environment here values everyone's opinions, no matter their position, creating a culture where diverse viewpoints truly matter."" How We Work The NCM data platform is a team of 12 people, spread across India and the US, with a mix of senior and junior engineers. The team is special because it works in a hybrid environment, prioritizing fast deliverables while dedicating time for cross-geo collaboration The pay range for this position at commencement of employment is expected to be between USD $ 92,800 and USD $ 184,800 per year. However, base pay offered may vary depending on multiple individualized factors, including market location, job-related knowledge, skills, and experience. The total compensation package for this position may also include other elements, including a sign-on bonus, restricted stock units, and discretionary awards in addition to a full range of medical, financial, and/or other benefits (including 401(k) eligibility and various paid time off benefits, such as vacation, sick time, and parental leave), dependent on the position offered. Details of participation in these benefit plans will be provided if an employee receives an offer of employment. If hired, employee will be in an “at-will position” and the Company reserves the right to modify base salary (as well as any other discretionary payment or compensation program) at any time, including for reasons related to individual performance, Company or individual department/team performance, and market factors. Show more Show less",3.0,postings.csv/postings.csv
30,Backend Developer,Sr. Software Engineer,"At eBay, we're more than a global ecommerce leader — we’re changing the way the world shops and sells. Our platform empowers millions of buyers and sellers in more than 190 markets around the world. We’re committed to pushing boundaries and leaving our mark as we reinvent the future of ecommerce for enthusiasts. Our customers are our compass, authenticity thrives, bold ideas are welcome, and everyone can bring their unique selves to work — every day. We're in this together, sustaining the future of our customers, our company, and our planet. Join a team of passionate thinkers, innovators, and dreamers — and help us connect people and build communities to create economic opportunity for all. About The Role We are the Buyer Growth team in the Buyer Experience Organization. Our team is looking for a Senior Backend Engineer to work on one of eBay’s key growth strategies. The focused category initiative, where there is an opportunity to have an immediate impact on the growth of the marketplace while elevating the experience for buyers and sellers alike working with a world class team of engineers, designers, product managers, and analysts to create great products that make a difference on one of the world’s most visited and loved websites. You will design, define implement highly scalable, performant distributive systems and collaborate with architects, product management, engineering and operations teams to developer innovative solutions alignment to development goals and principles. Responsibilities Define, design, and implement highly scalable, resilient and performant distributed systems Evangelize and communicate your design, methods, and results to a community of developers, analysts, and product managers Provide technical guidance, coaching, mentorship to develop and improve performance of individual team members and success of overall team Strictly follow Definition of Done (DoD) process for better quality by maintaining over 80% unit test coverage and other release criteria standards Responsible for leading engineering support, release, and on-call responsibilities for an always-on 24x7 site Qualifications MS + 4 years of experience or bachelor’s degree (in Computer Science or Other Related 4yr Technical Degree) OR 6 years of experience with software design and development, solid foundation in computer science with strong competencies in data structures, algorithms, OOPs, and OOA/D 4+ years of experience in software development using Java, SOAP, RESTful Web Services and Kotlin Strong experience in developing data-driven applications using an industry standard RDBMS, NoSQL, and ElasticSearch Strong experience in designing, and building highly scalable and available back-end systems and services for large web sites Experience with agile development methodologies, Test Driven Development (TDD) and CI/CD Benefits are an essential part of your total compensation for the work you do every day. Whether you’re single, in a growing family, or nearing retirement, eBay offers a variety of comprehensive and competitive benefit programs to meet your needs. Including maternal & paternal leave, paid sabbatical, and plans to help ensure your financial security today and in the years ahead because we know feeling financially secure during your working years and through retirement is important. Here at eBay, we love creating opportunities for others by connecting people from widely diverse backgrounds, perspectives, and geographies. So, being diverse and inclusive isn’t just something we strive for, it is who we are, and part of what we do each and every single day. We want to ensure that as an employee, you feel eBay is a place where, no matter who you are, you feel safe, included, and that you have the opportunity to bring your unique self to work. To learn about eBay’s Diversity & Inclusion click here: https://www.ebayinc.com/company/diversity-inclusion/ eBay is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. If you have a need that requires accommodation, please contact us at talent@ebay.com. We will make every effort to respond to your request for accommodation as soon as possible. View our accessibility statement to learn more about eBay's commitment to ensuring digital accessibility for people with disabilities. Jobs posted with location as ""Remote - United States (Excludes: HI, NM)"" excludes residents of Hawaii and New Mexico. This website uses cookies to enhance your experience. By continuing to browse the site, you agree to our use of cookies. Visit our Privacy Center for more information. Show more Show less",4.0,postings.csv/postings.csv
31,Backend Developer,Senior Backend Software Engineer,"EigenLabs provides cryptoeconomic security as a service for blockchain projects. Our platform provides programmatic access to the trust layer of Ethereum to make components reusable, allowing builders to rely on Ethereum for security while saving time and resources typically allocated to bootstrapping their own token. EigenLabs technologies also create technical value & efficiency for Validators in Ethereum's proof-of-stake network by enabling them to ""re-stake"" their assets. Re-staking allows validators to secure multiple protocols and boost rewards by providing security services to oracle networks, data availability networks and dApps running on rollups or side-chains. We're on a mission to hyperscale ETH & dApps and increase decentralization through re-staking! THE ROLE As a Backend Engineer you will leverage your skills and knowledge of distributed systems to create technologies that power the world's most innovative crypto projects. If you're looking to collaborate with a talented team of engineers, driving innovation and inventing groundbreaking technologies, we look forward to hearing from you! What You Will Do Collaborate with Researchers/Engineers to design and develop backends, built to run cloud services with their own infrastructure Create node operator tools that are capable of launching to different types of validator environments Constantly research/learn new concepts, ideas, and frameworks Proactively contribute to discussions about technical issues, sprint and roadmap planning, and improving team processes Engage in the team design/code reviews, standups, and agile development processes What You Will Bring BS in Computer Science or related technical field (e.g., physics or mathematics) 5+ years of backend distributed systems experience 2+ years of full life cycle development with Go Exposure to cloud technologies (managing keys and/or bootstrapping AWS environments) Experience developing applications optimized for deployment and management via microservices Experience with highly scalable P2P networks Track record of successfully delivering complex and high-scale software systems NICE TO HAVES Familiarity with blockchain tech and concepts such as; cryptography, polynomial commitments, signature schemes, hash functions, erasure codes, multi-threaded and parallel computing Ability to integrate smart contracts Experience with Liquid Staking or Node Operations platforms In compliance with local law, we are disclosing the compensation, or a range thereof, for roles in locations where legally required. $225,000 - $250,000 is the annual base salary. Other rewards may include annual bonuses, short- and long-term incentives, and program-specific awards. In addition, EigenLabs provides various employee benefits, including: Employer-covered Medical, Dental, and Vision plans 401k Unlimited Paid Time Off 12 weeks of fully paid maternity and paternity leave Show more Show less",5.0,postings.csv/postings.csv
32,Backend Developer,Back End Software Engineer II - Remote,"We Are Seeking a Talented Backend Engineer To Join Our Dynamic Multi-Product Platform (MPP) Team. At Our Company, We Prioritize Creating a Platform That Facilitates The Development And Launch Of Innovative Products. As a Backend Engineer, You Will Begin By Taking Ownership Of Customer Integrations And Supporting Platform Development, Gradually Progressing To Oversee Specific Features, Services, And Infrastructure Systems. The Ideal Candidate Embodies The Following Qualities Passion for Product Excellence: You are a product-minded engineer committed to delivering the best solutions for our customers. Principle-First Approach: You approach building scalable, customer-centric solutions with a ""principle-first"" mindset. Mission-Driven Perspective: You are attracted to a company with a ""mission-first"" approach, dedicated to solving meaningful and pragmatic problems. Ownership Mentality: You are eager to take ownership of your work and foster personal and professional growth. Self-Driven and Detail-Oriented: You possess a self-driven nature, pay attention to details, and prioritize code quality, testing, and a customer-driven product experience. Effective Communication: Strong communication skills are your forte, and you demonstrate a proven ability to work autonomously and asynchronously with remote collaborators and stakeholders. Your Responsibilities Collaborate with engineers, designers, PMs, and EMs to execute the product roadmap and achieve company-wide objectives. Design, develop, and maintain high-performance, low-latency products and services. Work closely with engineering and product managers to assess trade-offs, create plans, and establish foundations for scalable product development. Streamline internal processes through automation, ensuring minimal human intervention in servicing customers. Establish and maintain instrumentation, monitoring, and alerting for our services. Must-Have Skills Technical Expertise: 3+ years of experience working with relevant tech stacks, including Python (Django) and Go, MySQL & PostgreSQL databases, ElasticSearch, Redis, and Kafka. Production Support: 1+ years of experience in providing production support for enterprise-class customers. System Design: At least 1+ years of hands-on experience in system design. If you are a passionate and skilled engineer seeking a challenging yet rewarding role, we encourage you to apply and become an integral part of our innovative team. Join us in shaping the future of our platform and making a significant impact on the industry. Employment Type: Full-Time Show more Show less",3.0,postings.csv/postings.csv
33,Backend Developer,Senior Software Engineer,"About us Layer Health is an AI startup recently spun out of MIT CSAIL, revolutionizing clinical documentation by leveraging the power of large language models. Having deployed our technology in real-world health systems, we've witnessed how the difficulty of accurately and efficiently extracting information from clinical notes affects all aspects of healthcare. We are building an AI layer that will radically speed up and improve the quality of extracting and synthesizing information from medical records, with the mission to reduce friction everywhere in healthcare, power the future of precision medicine, and ultimately improve patient outcomes. Our diverse founding team brings expertise across machine learning, large language models, medicine, and human-computer interaction. We’re seeking exceptional engineers to join our seed-stage company as early members. Together, we will create the AI layer that will redefine healthcare for the better. Job Description We’re hiring an experienced backend engineer to join our team. In this role, you will architect and implement fundamental systems to supercharge Layer Health’s applications and infrastructure. You can expect to: Design, build, and maintain secure, scalable, and performant APIs and microservices to maintain our core backend infrastructure. Develop reliable, scalable services and client libraries on large amounts of data in the cloud. Innovate and implement robust data models and solutions that cater to various technical and business constraints for regulated areas. Work across the backend, frontend, and the core ML & cloud infrastructure of Layer Health. Collaborate on a cross-functional team to design and ship new product features/experiences. Cultivate a robust engineering and product culture that drives the company forward. We look for: 5+ years of experience in backend software development, with the ability and flexibility to traverse the stack when necessary. Experience building systems to ingest and process massive amounts of cloud-native data (bonus if you’ve worked in healthcare settings/products before). Experience developing and maintaining performant/scalable enterprise software products. Fluency in one or more programming languages, e.g. Python, Java, C, C++, or Go. Fluency with modern, cloud-native tech stacks and frameworks. A strong communicator who thrives in a customer-focused, fast-paced environment. A proactive problem-solver with a strong sense of ownership and the ability to work independently. An excited and adaptable team player who wants to disrupt the healthcare industry with AI/ML, alongside an awesome team. We are a Boston-based company, and expect engineers to meet regularly in-person in Boston (engineers from Boston, NYC, or east coast are welcome). Join us and help us transform healthcare with AI. Show more Show less",5.0,postings.csv/postings.csv
